County;popUrb;popRur;popTotal;HHUrb;HHRur;HHTotal
Mombasa;1208333;0;1208333;378422;0;376295
Kwale;126431;740389;866820;37005;136171;172802
Kilifi;393888;1059899;1453787;112718;185754;297990
Tana River;75722;240221;315943;19897;48345;66984
Lamu;38446;105474;143920;10214;27749;34231
Taita Taveta;93774;246897;340671;29489;66940;94468
Garissa;210890;630463;841353;37697;103697;138940
Wajir;177174;604089;781263;30656;97276;126878
Mandera;270467;596990;867457;40282;85481;123954
Marsabit;107239;352546;459785;20491;57004;76689
Isiolo;125669;142333;268002;29248;28824;53217
Meru;138918;1406796;1545714;50910;375450;423931
Tharaka-Nithi;32743;360434;393177;11911;97949;109450
Embu;75924;532675;608599;28149;154594;182427
Kitui;54019;1082168;1136187;19250;243692;261814
Machakos;414078;1007854;1421932;142969;259497;399523
Makueni;77076;910577;987653;27059;217610;243979
Nyandarua;66535;571754;638289;23249;156437;178224
Nyeri;150755;608409;759164;57737;190313;244564
Kirinyaga;136224;474187;610411;49544;154644;203576
Murang'a;118427;938213;1056640;41597;276508;317496
Kiambu;1706285;711450;2417735;587531;207710;792333
Turkana;140791;786185;926976;30620;133899;162627
West Pokot;31841;589400;621241;8610;107572;115761
Samburu;47132;263195;310327;12790;53120;63951
Trans-Nzoia;178734;811607;990341;49559;174249;222989
Uasin Gishu;510205;652981;1163186;161509;143434;301110
Elgeyo Marakwet;20579;433901;454480;6141;93720;99119
Nandi;59479;826232;885711;18600;180826;199040
Baringo;75289;591474;666763;22524;119994;141877
Laikipia;127360;391200;518560;44808;104463;145776
Nakuru;1047080;1115122;2162202;339787;276259;598237
Narok;100352;1057521;1157873;31940;209185;238115
Kajiado;622622;495218;1117840;207617;108562;313218
Kericho;93538;808239;901777;30843;175193;205932
Bomet;27971;847718;875689;9506;178135;187230
Kakamega;185340;1682239;1867579;54821;378386;432284
Vihiga;58384;531629;590013;15889;127476;143288
Bungoma;190112;1480458;1670570;50815;307981;357714
Busia;113753;779928;893681;30784;167368;197944
Siaya;85417;907766;993183;25667;225031;249341
Kisumu;440906;714668;1155574;131732;169013;296846
Homa Bay;113079;1018871;1131950;32024;230012;260290
Migori;167200;949236;1116436;42900;197268;238133
Kisii;151410;1115450;1266860;46217;261837;307254
Nyamira;47036;558540;605576;13048;137621;150499
Nairobi;4397073;0;4397073;1506888;0;1494676